Roles,Games,# Players,# Minions,% Evil Win,STD-ERROR,ConInt95,Avg Days,Avg Days|Evil Win,Avg Days|Good Win;Roles;Games;# Players;# Minions;% Evil Win;STD-ERROR;ConInt95;Avg Days;Avg Days|Evil Win;Avg Days|Good Win
;"Demon;ScarletWoman;Good;Good;Good;Good;Good";10000;7;1;0.5368;0.00499;(0.52703, 0.54657);2.8054;3.0;2.57988
;"Demon;ScarletWoman;Outsider;Good;Good;Good;Good;Good";10000;8;1;0.4743;0.00499;(0.46451, 0.48409);3.4297;3.48176;3.38273
;"Demon;ScarletWoman;Outsider;Outsider;Good;Good;Good;Good;Good";10000;9;1;0.5098;0.005;(0.5, 0.5196);3.7477;4.0;3.48531
;"Demon;ScarletWoman;Assassin;Good;Good;Good;Good;Good;Good;Good";10000;10;2;0.5624;0.00496;(0.55268, 0.57212);3.6488;3.76529;3.49909
;"Demon;ScarletWoman;Assassin;Outsider;Good;Good;Good;Good;Good;Good;Good";10000;11;2;0.5608;0.00496;(0.55107, 0.57053);4.1793;4.26355;4.07172
;"Demon;ScarletWoman;Assassin;Outsider;Outsider;Good;Good;Good;Good;Good;Good;Good";10000;12;2;0.5257;0.00499;(0.51591, 0.53549);4.6019;4.82214;4.35779
;"Demon;ScarletWoman;Assassin;Godfather;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;13;3;0.6391;0.0048;(0.62969, 0.64851);4.6583;4.70161;4.5816
;"Demon;ScarletWoman;Assassin;Godfather;Outsider;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.622;0.00485;(0.6125, 0.6315);4.876;4.92058;4.80265
;"Demon;ScarletWoman;PoppyGrower;Good;Good;Good;Good";10000;7;1;0.536;0.00499;(0.52623, 0.54577);2.8024;3.0;2.57414
;"Demon;ScarletWoman;Outsider;PoppyGrower;Good;Good;Good;Good";10000;8;1;0.3905;0.00488;(0.38094, 0.40006);3.5639;3.80999;3.40623
;"Demon;ScarletWoman;Outsider;Outsider;PoppyGrower;Good;Good;Good;Good";10000;9;1;0.5051;0.005;(0.4953, 0.5149);3.7146;4.0;3.42332
